catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4389,534,6,") VILLARI Pasquale. La storia di Girolamo Savonarola e de' suoi tempi. Firenze, 1882.","- 6) VILLARI Pasquale. La storia di Girolamo Savonarola e de' suoi tempi. Firenze, 1882.
- c) CAMPBELL Arabella Georgina. La vita di fra Paolo Sarpi."
documents/BO0624_4389,6,15,"Firenze, 1875.","15. Firenze, 1875."
documents/BO0624_4389,15,535,a) RECUEIL de pièces... pour servir d'éclaireissement à l'Af-,535. a) RECUEIL de pièces... pour servir d'éclaireissement à l'Af-
documents/BO0624_4389,535,17,"faire concernant le Cardinal, Prince DE ROHAN, etc., etc. Strasbourg et Paris, 1786, voll. 3.","17. faire concernant le Cardinal, Prince DE ROHAN, etc., etc. Strasbourg et Paris, 1786, voll. 3.
- b) CONSTITUTION du pape Clement XI qui condanne le N.
- c) CLEMENS XIV, Pp. Epp. et Brevia. Florentiae,"
documents/BO0624_4389,17,3,"Testament du père Quesnel. Amsterdam, 1714.","3. Testament du père Quesnel. Amsterdam, 1714."
documents/BO0624_4389,4,536,"OPUSCOLI dell'arciv. P. R. KENRICk e di GLADSTONE sull' Infallibilità Pontificia, il Vaticanismo, ecc. Voll. 2 leg.","536. OPUSCOLI dell'arciv. P. R. KENRICk e di GLADSTONE sull' Infallibilità Pontificia, il Vaticanismo, ecc. Voll. 2 leg."
documents/BO0624_4389,538,11,"ghilterra. Fiorenza, Giunti, 1591.","11. ghilterra. Fiorenza, Giunti, 1591."
documents/BO0624_4389,11,6,") ZACCARIA Fr. Ant. Dell'Anno Santo... Roma, 1824, voll. 2.","- 6) ZACCARIA Fr. Ant. Dell'Anno Santo... Roma, 1824, voll. 2.
- c) POTTER (De). Vie de Scipion de Ricci, évêque de Pistoie."
documents/BO0624_4389,6,14,"Bruxelles, 1826, voll. 3.","14. Bruxelles, 1826, voll. 3."
documents/BO0624_4389,14,539,"a) CURCI C. M. Il Vaticano Regio. Firenze, 1883.","539. a) CURCI C. M. Il Vaticano Regio. Firenze, 1883.
- b) MINGHETTI Marco. Stato e Chiesa. Milano, 1878, Iª e 2ª ediz.
- c) SAVARESE G. Battista. La Chiesa e la democrazia. Roma,"
documents/BO0624_4389,539,18,1882.,"18. 1882.
- d) LA QUESTIONE religiosa-sociale-politica. Ginevra, 1901.
- e) NICCOLA da S. Giovanni. L'infallibilità pontificia e il si-"
documents/BO0624_4389,18,21,"gnor Gladston. Roma, 1875.","21. gnor Gladston. Roma, 1875."
documents/BO0624_4389,21,540,"a) SANGUINETI Seb., d. C. d. G. Iuris ecclesiastici institutiones. Romae, 1901. 1872; 2 esemplari.","540. a) SANGUINETI Seb., d. C. d. G. Iuris ecclesiastici institutiones. Romae, 1901.
- c) REGULAE Soc. Jesu. Avenione, 1827.
- b) CECCONI Eug. Storia del Concilio Ecumenico Vaticano. P. I. Roma, 1873.
- d) CONSTITUTIONES Soc. Jesu. Avenione, 1827.
- e) ACTA et Decreta Sacr. Oecumenici Concilii Vaticani. Romae, 27. 1872; 2 esemplari.
- f) LIGUORI (De) Sant' Alfonso. Istruzioni e pratica pei con fessori. Ancona, 1842, voll. 3."
documents/BO0624_4389,541,6,") RENAN Ern. Gli Apostoli. Trad. di E. TORELLI VIOLLIER. Milano, 1866.","- 6) RENAN Ern. Gli Apostoli. Trad. di E. TORELLI VIOLLIER. Milano, 1866."
